point	title	description	img	link	icon
53.766520704,19.378890020	Kamieniec	&nbsp;	/img/empty.png	/img/sondaz.png	/img/sondaz.png
53.624342409,19.186418363	Łodygowo st. 2	&nbsp;	/grodziska/lodygowo_2/img/ryc1.jpg	/grodziska/lodygowo_2/index.html	/img/grodzisko.png
53.618916446,19.185096313	Łodygowo st. 3	&nbsp;	/grodziska/lodygowo_3/img/ryc1.jpg	/grodziska/lodygowo_3/index.html	/img/sondaz.png
53.631980405,19.343031810	Stary Folwark	&nbsp;	/grodziska/stary_folwark/img/ryc1.jpg	/grodziska/stary_folwark/index.html	/img/grodzisko.png
53.61421,19.33574	Stary Folwark, st. 2	&nbsp;	/grodziska/stary_folwark_2/img/ryc1.jpg	/grodziska/stary_folwark_2/index.html	/img/grodzisko.png
54.003810999,19.973058276	Strużyna	&nbsp;	/grodziska/struzyna/img/ryc1.jpg	/grodziska/struzyna/index.html	/img/grodzisko.png
53.881333635,20.071981720	Tątławki	&nbsp;	/grodziska/tatlawki/img/ryc1.jpg	/grodziska/tatlawki/index.html	/img/grodzisko.png
53.983642382,20.148608741	Raciszewo	&nbsp;	/grodziska/raciszewo/img/ryc1.jpg	/grodziska/raciszewo/index.html	/img/grodzisko.png
54.074295147,20.068038296	Rotajny	&nbsp;	/grodziska/rotajny/img/ryc1.jpg	/grodziska/rotajny/index.html	/img/grodzisko.png
54.064894114,20.042487423	Podągi	&nbsp;	/grodziska/podagi/img/ryc1.jpg	/grodziska/podagi/index.html	/img/grodzisko.png
53.933246264,19.950100702	Plebania Wólka	&nbsp;	/img/empty.png	/img/sondaz.png	/img/sondaz.png
53.911886541,19.963066412	Kruszewnia	&nbsp;	/img/empty.png	/img/sondaz.png	/img/sondaz.png
53.916783394,19.827339763	Dobrocin Svantegora	&nbsp;	/img/empty.png	/img/sondaz.png	/img/sondaz.png
53.681996779,19.317796081	Bałoszyce Małe	&nbsp;	/img/empty.png	/img/sondaz.png	/img/sondaz.png
53.671273418,19.280883906	Bałoszyce	&nbsp;	/img/empty.png	/img/sondaz.png	/img/sondaz.png
53.838889370,19.837260872	Bartężek Wyspa Zamkowa	&nbsp;	/img/empty.png	/img/sondaz.png	/img/sondaz.png	
53.898440790,19.972131392	Dury Lisia Góra	&nbsp;	/img/empty.png	/img/sondaz.png	/img/sondaz.png
54.067260565,20.101322678	Sportyny	&nbsp;	/img/empty.png	/img/sondaz.png	/img/sondaz.png
53.976960141,19.810688223	Chojnik	&nbsp;	/img/empty.png	/img/sondaz.png	/img/sondaz.png
53.896706271,20.031970371	Kretowiny	&nbsp;	/img/empty.png	/img/sondaz.png	/img/sondaz.png
53.673738194,19.281271874	Bałoszyce pałac	&nbsp;	/img/empty.png	/img/sondaz.png	/img/sondaz.png
53.75107,19.72892	Ligi	&nbsp;	/img/empty.png	/img/sondaz.png	/img/sondaz.png
54.01833,19.98142	Zimnochy	&nbsp;	/grodziska/zimnochy/img/ryc1.jpg	/grodziska/zimnochy/index.html	/img/grodzisko.png
54.01272,19.96950	Strużyna, st. 24	&nbsp;	/grodziska/struzyna_24/img/ryc1.jpg	/grodziska/struzyna_24/index.html	/img/grodzisko.png
53.74131,20.14272	Plichta	&nbsp;	/grodziska/plichta/img/ryc1.jpg	/grodziska/plichta/index.html	/img/grodzisko.png
53.67662,19.93373	Morliny	&nbsp;	/grodziska/morliny/img/ryc1.jpg	/grodziska/morliny/index.html	/img/grodzisko.png
53.65891,20.02525	Lipowiec	&nbsp;	/grodziska/lipowiec/img/ryc1.jpg	/grodziska/lipowiec/index.html	/img/grodzisko.png
53.65593,20.02297	Grabin	&nbsp;	/grodziska/grabin/img/ryc1.jpg	/grodziska/grabin/index.html	/img/grodzisko.png
53.65207,20.00877	Lichtajny	&nbsp;	/grodziska/lichtajny/img/ryc1.jpg	/grodziska/lichtajny/index.html	/img/grodzisko.png
53.62051,20.03752	Durąg	&nbsp;	/grodziska/durag/img/ryc1.jpg	/grodziska/durag/index.html	/img/grodzisko.png
